25時ミク,25-ji miku
2B（ニーア オートマタ）,2b (nier automata)
2Kたん（Windows 2000）,2k-tan
3.1たん（Windows 3.1）,3.1-tan
35P（さくらみこ）（ホロライブ）,35p (sakura miko)
95たん（Windows 95）,95-tan
98たん（Windows 98）,98-tan
9A-91（ドールズフロントライン）,9a-91 (girls' frontline)
9S（ニーア オートマタ）,9s (nier automata)
友人A（ホロライブ）,a-chan (hololive)
A2（ニーア オートマタ）,a2 (nier automata)
AA-12（ドールズフロントライン）,aa-12 (girls' frontline)
アードウルフ（けものフレンズ）,aardwolf (kemono friends)
阿散井恋次（BLEACH）,abarai renji (bleach)
安部菜々（アイドルマスター シンデレラガールズ）,abe nana
アビゲイル・ウィリアムズ（エメラルド・フロート）（Fate）,abigail williams (emerald float) (fate)
アビゲイル・ウィリアムズ（Fate）,abigail williams (fate)
アビゲイル・ウィリアムズ（祭装）（Fate）,abigail williams (festival outfit) (fate)
アビゲイル・ウィリアムズ（第二再臨）（Fate）,abigail williams (second ascension) (fate)
アビゲイル・ウィリアムズ（水着フォーリナー）（Fate）,abigail williams (swimsuit foreigner) (fate)
アビゲイル・ウィリアムズ（水着フォーリナー）（第三再臨）（Fate）,abigail williams (swimsuit foreigner) (third ascension) (fate)
アビゲイル・ウィリアムズ（第三再臨）（Fate）,abigail williams (third ascension) (fate)
アビゲイル・ウィリアムズ（旅装）（Fate）,abigail williams (traveling outfit) (fate)
阿武隈（艦隊これくしょん）,abukuma (kancolle)
阿武隈改二（艦隊これくしょん）,abukuma kai ni (kancolle)
一方通行（とある魔術の禁書目録）,accelerator (toaru majutsu no index)
アセロラ（ポケモン）,acerola (pokemon)
黄泉（崩壊：スターレイル）,acheron (honkai  star rail)
エイダ・ウォン,ada wong
足立レイ,adachi rei
安達桜,adachi sakura
アデプタ・ソロリタス,adepta sororitas
スペースマリーン,adeptus astartes
提督（艦隊これくしょん）,admiral (kancolle)
アドミラル・グラーフ・シュペー（アズールレーン）,admiral graf spee (azur lane)
アドミラル・ヒッパー（アズールレーン）,admiral hipper (azur lane)
アドマイヤベガ（ウマ娘）,admire vega (umamusume)
アドリアン,adrien agreste
大人ネプ,adult neptune
エーギル（アズールレーン）,aegir (azur lane)
エーギル,aegir (housamo)
アイギス（ペルソナ）,aegis (persona)
エアリス・ゲインズブール,aerith gainsborough
エアリス・ゲインズブール（赤いドレス）,aerith gainsborough (red dress)
トネリコ（Fate）,aesc (fate)
トネリコ（雨の魔女）（Fate）,aesc (rain witch) (fate)
空（原神）,aether (genshin impact)
エーテル財団職員,aether foundation employee
リカオン（けものフレンズ）,african wild dog (kemono friends)
アフロディ,afuro terumi
阿賀野（艦隊これくしょん）,agano (kancolle)
我妻善逸（鬼滅の刃）,agatsuma zenitsu
ボスゴドラ（ポケモン）,aggron (pokemon)
アニエス・クローデル,agnes claudel
アグネスデジタル（ウマ娘）,agnes digital (umamusume)
アグネスタキオン（ルナティックラボ）（ウマ娘）,agnes tachyon (lunatic lab) (umamusume)
アグネスタキオン（ウマ娘）,agnes tachyon (umamusume)
アグリアス,agrias oaks
アグモン（デジモン）,agumon (digimon)
あひる,ahiru (princess tutu)
藍原芽衣,aihara mei
藍原柚子,aihara yuzu
愛城華恋,aijou karen
藍華·S·グランチェスタ,aika granzchesta
アイラ・ユルキアイネン,aila jyrkiainen
エールさん,aile (mega man zx)
艾娜,aina (mao lian)
愛野美奈子（美少女戦士セーラームーン）,aino minako
エアグルーヴ（ウマ娘）,air groove (umamusume)
エアシャカール（ウマ娘）,air shakur (umamusume)
アイラニ・イオフィフティーン,airani iofifteen
空母栖鬼（艦隊これくしょん）,aircraft carrier oni
空母水鬼（艦隊これくしょん）,aircraft carrier water oni
飛行場姫（艦隊これくしょん）,airfield princess
栗村愛莉（バンド）（ブルーアーカイブ）,airi (band) (blue archive)
栗村愛莉（ブルーアーカイブ）,airi (blue archive)
アイリ,airi (queen's blade)
冥土へ誘うものアイリ,airi (the infernal temptress)
逢坂大河,aisaka taiga
愛崎恵美瑠（プリキュア）,aisaki emiru
アイシャ,aisha landar
藍沢エマ,aizawa ema
相澤一葉,aizawa kazuha
AK-12（ドールズフロントライン）,ak-12 (girls' frontline)
AK-15（ドールズフロントライン）,ak-15 (girls' frontline)
赤城（アズールレーン）,akagi (azur lane)
赤城（艦隊これくしょん）,akagi (kancolle)
赤城みりあ,akagi miria
小赤城（アズールレーン）,akagi-chan (azur lane)
赤井心（ホロライブ）,akai haato
赤井心（初期衣装）（ホロライブ）,akai haato (1st costume)
赤井心（ゴシックロリータ）（ホロライブ）,akai haato (gothic lolita)
アカリ,akali
赤松楓（ダンガンロンパ）,akamatsu kaede
室笠朱音（ブルーアーカイブ）,akane (blue archive)
女主人公（LEGENDS）,akari (pokemon)
明石（アズールレーン）,akashi (azur lane)
明石（艦隊これくしょん）,akashi (kancolle)
