tennis polo shirt, visor, wristbands
basketball jersey, compression sleeves, team logo
soccer jersey, captain armband, sporty collar
baseball jersey, cap, button placket
track jacket, zipper collar, athletic stripes
yoga tank top, zip hoodie, breathable fabric
martial arts gi upper, colored belt knot visible, wrapped wrists
figure skating costume bodice, crystal accents, sheer sleeves
ballet leotard upper, wrap sweater, chiffon shoulder scarf
equestrian riding jacket, helmet, white shirt collar
racing suit upper, sponsor patches, driving gloves
swim team warmup jacket, towel around shoulders
boxing cropped hoodie, hand wraps, sports bra neckline
archery club vest, arm guard, slim shoulder straps
cheer cropped jacket, hair ribbon, team emblem
