oversized hoodie, black leggings, high-top sneakers, canvas backpack
cropped denim jacket, striped t-shirt, high-waist jeans, ankle boots
soft knit sweater, corduroy skirt, wool beret, brown boots
linen button-up shirt, wide-leg trousers, woven belt, sandals
graphic tee, pleated mini skirt, knee socks, platform sneakers
ribbed turtleneck, denim pinafore dress, tights, lace-up boots
slouchy cardigan, camisole, relaxed jeans, canvas sneakers
boxy sweatshirt, tennis skirt, crew socks, chunky sneakers
striped long-sleeve shirt, denim overalls, low-top sneakers
pastel cropped cardigan, high-waist shorts, ankle socks, mary janes
simple white tee, cargo skirt, utility belt, trail sneakers
flannel shirt, fitted tank top, cuffed jeans, worn sneakers
sleeveless vest, loose blouse, tapered pants, loafers
color-block windbreaker, jogger pants, crossbody bag, sneakers
knit poncho, slim jeans, suede ankle boots, small satchel
