chef jacket, double-breasted buttons, neckerchief, apron straps
barista apron, rolled-sleeve shirt, name pin
artist smock, paint marks, loose shirt, rolled sleeves
librarian cardigan, collared blouse, round glasses
doctor white coat, scrubs neckline, stethoscope
nurse scrub top, warm-up jacket, badge holder
mechanic coveralls upper, tool strap, rolled sleeves
pilot blazer, peaked cap, neck scarf
flight attendant jacket, neck scarf, name badge
naval officer jacket, double-breasted buttons, white gloves
museum curator tweed blazer, silk scarf, brooch
gardening overalls upper, checked shirt, sunhat
bakery apron dress upper, kerchief, striped blouse
hotel concierge vest, name badge, crisp shirt
news reporter blazer, blouse, press badge
photographer utility vest, camera strap, cargo pockets
lab researcher coat, turtleneck, safety goggles
forest ranger jacket, radio strap, cap
