snowy winter coat upper, plaid scarf, mittens, earmuffs
raincoat upper, striped shirt, hood, umbrella
beach sundress bodice, straw hat, shell necklace
resort linen vest, sunglasses, loose blouse
ski jacket upper, knit beanie, goggles, insulated collar
spring picnic cardigan, floral blouse, straw basket handle
autumn trench coat upper, plaid scarf, beret
summer linen blouse, sunhat, ribbon necklace
winter knit dress upper, oversized scarf, warm mittens
cherry blossom cardigan, floral collar, hair ornament
fireworks festival yukata upper, patterned obi visible, drawstring pouch
holiday party sweater, velvet ribbon headband, brooch
cozy cafe wool coat upper, turtleneck, soft scarf
windy seaside light jacket, striped top, hair scarf
mountain lodge fleece jacket, thermal collar, snow goggles
