circus ringmaster jacket upper, gold trim, high collar, top hat
magician tuxedo upper, capelet, bow tie, gloves
idol stage jacket, sparkling shoulders, headset mic
rock singer leather vest, chain necklace, ripped sleeves
jazz club satin bodice, feather hairpiece, satin gloves
theater velvet cape, ornate vest, lace collar
opera performer jeweled bodice, feather fan, long gloves
dance performance sequined crop jacket, ribbon choker
pop star metallic bomber jacket, glitter top, headset mic
folk singer embroidered blouse, woven vest, ribbon tie
cabaret-inspired tailcoat upper, bow tie, lace gloves
drum major braided jacket, epaulettes, shako hat
festival performer bright sash, layered ribbons, arm bands
musical actress satin bodice, stage necklace, puff sleeves
DJ stage oversized jacket, neon top, headphones
